,ObjectID,OldDate,Count,Date,DailyCases,7Day,Daily100k,100k7D,100k7D_Diff,TotalNewsCasesPast7Days,TotalCasesPast7Days100K
0,1,2020/03/04 15:00:00+00,0,2020-03-04 15:00:00+00:00,,,,,,,
1,2,2020/03/05 15:00:00+00,3,2020-03-05 15:00:00+00:00,3.0,,0.04962220957774807,,,,
2,3,2020/03/06 15:00:00+00,3,2020-03-06 15:00:00+00:00,0.0,,0.0,,,,
3,4,2020/03/07 15:00:00+00,3,2020-03-07 15:00:00+00:00,0.0,,0.0,,,,
4,5,2020/03/08 14:00:00+00,5,2020-03-08 14:00:00+00:00,2.0,,0.03308147305183205,,,,
5,6,2020/03/09 14:00:00+00,6,2020-03-09 14:00:00+00:00,1.0,,0.016540736525916026,,,,
6,7,2020/03/10 14:00:00+00,9,2020-03-10 14:00:00+00:00,3.0,,0.04962220957774807,,,,
7,8,2020/03/11 14:00:00+00,12,2020-03-11 14:00:00+00:00,3.0,1.7142857142857142,0.04962220957774807,0.028355548330141755,,12.0,0.1984888383109923
8,9,2020/03/12 14:00:00+00,12,2020-03-12 14:00:00+00:00,0.0,1.2857142857142858,0.0,0.021266661247606317,-0.007088887082535439,9.0,0.14886662873324422
9,10,2020/03/13 14:00:00+00,15,2020-03-13 14:00:00+00:00,3.0,1.7142857142857142,0.04962220957774807,0.028355548330141755,0.007088887082535439,12.0,0.1984888383109923
10,11,2020/03/14 14:00:00+00,26,2020-03-14 14:00:00+00:00,11.0,3.2857142857142856,0.18194810178507628,0.05434813429943836,0.025992585969296607,23.0,0.3804369400960686
11,12,2020/03/15 14:00:00+00,31,2020-03-15 14:00:00+00:00,5.0,3.7142857142857144,0.08270368262958014,0.06143702138197381,0.007088887082535446,26.0,0.4300591496738167
12,13,2020/03/16 14:00:00+00,37,2020-03-16 14:00:00+00:00,6.0,4.428571428571429,0.09924441915549614,0.07325183318619954,0.011814811804225736,31.0,0.5127628323033968
13,14,2020/03/17 14:00:00+00,57,2020-03-17 14:00:00+00:00,20.0,6.857142857142857,0.33081473051832055,0.11342219332056704,0.04017036013436749,48.0,0.7939553532439692
14,15,2020/03/18 14:00:00+00,85,2020-03-18 14:00:00+00:00,28.0,10.428571428571429,0.46314062272564877,0.17249625234169572,0.05907405902112868,73.0,1.20747376639187
15,16,2020/03/19 14:00:00+00,107,2020-03-19 14:00:00+00:00,22.0,13.571428571428571,0.36389620357015257,0.22448142428028892,0.0519851719385932,95.0,1.5713699699620225
16,17,2020/03/20 14:00:00+00,149,2020-03-20 14:00:00+00:00,42.0,19.142857142857142,0.6947109340884731,0.3166369563532497,0.09215553207296076,134.0,2.2164586944727476
17,18,2020/03/21 14:00:00+00,190,2020-03-21 14:00:00+00:00,41.0,23.428571428571427,0.6781701975625571,0.38752582717860407,0.07088887082535439,164.0,2.7126807902502286
18,19,2020/03/22 14:00:00+00,244,2020-03-22 14:00:00+00:00,54.0,30.428571428571427,0.8931997723994655,0.5033109828600162,0.11578515568141212,213.0,3.5231768800201135
19,20,2020/03/23 14:00:00+00,288,2020-03-23 14:00:00+00:00,44.0,35.857142857142854,0.7277924071403051,0.5931035525721319,0.08979256971211569,251.0,4.151724868004923
20,21,2020/03/24 14:00:00+00,349,2020-03-24 14:00:00+00:00,61.0,41.714285714285715,1.0089849280808776,0.6899850093667829,0.09688145679465099,292.0,4.82989506556748
21,22,2020/03/25 14:00:00+00,423,2020-03-25 14:00:00+00:00,74.0,48.285714285714285,1.2240145029177858,0.7986812779656596,0.10869626859887671,338.0,5.590768945759617
22,23,2020/03/26 14:00:00+00,580,2020-03-26 14:00:00+00:00,157.0,67.57142857142857,2.596895634568816,1.1176811966797544,0.31899991871409483,473.0,7.82376837675828
23,24,2020/03/27 14:00:00+00,774,2020-03-27 14:00:00+00:00,194.0,89.28571428571429,3.2089028860277087,1.4768514755282165,0.3591702788484621,625.0,10.337960328697516
24,25,2020/03/28 14:00:00+00,992,2020-03-28 14:00:00+00:00,218.0,114.57142857142857,3.6058805626496935,1.8950958133978075,0.41824433786959103,802.0,13.265670693784651
25,26,2020/03/29 14:00:00+00,1239,2020-03-29 14:00:00+00:00,247.0,142.14285714285714,4.085561921901259,2.351147549040921,0.4560517356431133,995.0,16.458032843286446
26,27,2020/03/30 14:00:00+00,1413,2020-03-30 14:00:00+00:00,174.0,160.71428571428572,2.8780881555093885,2.65833265595079,0.307185106909869,1125.0,18.60832859165553
27,28,2020/03/31 14:00:00+00,1660,2020-03-31 14:00:00+00:00,247.0,187.28571428571428,4.085561921901259,3.097843655067987,0.43951099911719727,1311.0,21.68490558547591
28,29,2020/04/01 14:00:00+00,1985,2020-04-01 14:00:00+00:00,325.0,223.14285714285714,5.375739370922709,3.690947207640119,0.5931035525721318,1562.0,25.836630453480833
29,30,2020/04/02 14:00:00+00,2331,2020-04-02 14:00:00+00:00,346.0,250.14285714285714,5.723094837966945,4.137547093839852,0.4465998861997331,1751.0,28.96282965687896
30,31,2020/04/03 14:00:00+00,2758,2020-04-03 14:00:00+00:00,427.0,283.42857142857144,7.062894496566143,4.688117323916771,0.5505702300769189,1984.0,32.816821267417396
31,32,2020/04/04 14:00:00+00,3125,2020-04-04 14:00:00+00:00,367.0,304.7142857142857,6.070450305011182,5.040198715682698,0.35208139176592734,2133.0,35.281391009778886
32,33,2020/04/05 14:00:00+00,3609,2020-04-05 14:00:00+00:00,484.0,338.57142857142856,8.005716478543357,5.600220795202998,0.5600220795202997,2370.0,39.20154556642098
33,34,2020/04/06 14:00:00+00,4045,2020-04-06 14:00:00+00:00,436.0,376.0,7.211761125299387,6.219316933744426,0.619096138541428,2632.0,43.53521853621098
